video_id,url,title,category,tags,attempts,error,recommended_action
7658231159860261361,https://www.douyin.com/video/7658231159860261361,架拍的选择 在两个极端架拍的中间位置，就是最普通的架拍！没有绝对的对错，符合场景，符合自己的情况就是对！ #羽毛球#刘辉羽毛球#羽毛球教学 #羽毛球训练,后场技术,后场技术；训练与纠错,2,media URL not observed after slow retry,retry_with_browser_manual_asset_check
7656560952972884730,https://www.douyin.com/video/7656560952972884730,一句话概括发力 其实所有的发力都逃不过这句话，击球前胳膊带着拍子，击球后拍头戴着胳膊，业余球友也不要使用高难度框架，没有足够的能力和配套，价值不高#羽毛球 #刘辉羽毛球 #羽毛球教学 #羽毛球训练,发力与身体运用,发力与身体运用；握拍与基本动作；训练与纠错,2,media URL not observed after slow retry,retry_with_browser_manual_asset_check
7600107130034047973,https://www.douyin.com/video/7600107130034047973,体系认知1 希望大家一定要看完，会非常有收获#羽毛球 #刘辉羽毛球 #羽毛球教学 #羽毛球训练,训练与纠错,训练与纠错,3,media URL not observed after extended wait,retry_with_browser_manual_asset_check
7595804581259641521,https://www.douyin.com/video/7595804581259641521,深夜高级教学 张旌懿平时使用的为快速框架，今天让他体验下力量框架，深夜教学穿着略显随意望海涵#刘辉羽毛球 #羽毛球教学 #羽毛球,握拍与基本动作,握拍与基本动作；训练与纠错,3,media URL not observed after extended wait,retry_with_browser_manual_asset_check
7589590613499595185,https://www.douyin.com/video/7589590613499595185,发小球进阶 大家总是关注球飞的贴不贴，贴当然重要，但是力量控制到过网能落也很重要#刘辉羽毛球 #羽毛球 #羽毛球教学 #羽毛球训练,训练与纠错,训练与纠错,2,media URL not observed after extended wait,retry_with_browser_manual_asset_check
7588747058782683513,https://www.douyin.com/video/7588747058782683513,劈球进阶 转着劈，加更快更多的腰腹动作就成功啦，击球点要往后放#羽毛球 #刘辉羽毛球 #羽毛球教学 #羽毛球训练,握拍与基本动作,握拍与基本动作；训练与纠错,2,media URL not observed after extended wait,retry_with_browser_manual_asset_check
7587362379455778097,https://www.douyin.com/video/7587362379455778097,滑拍进阶 但是滑拍球快了落点会远，想近就需要抛物线更明显，会慢#刘辉羽毛球 #羽毛球 #羽毛球教学 #羽毛球训练 #华羽,单打战术,单打战术；训练与纠错,2,media URL not observed after extended wait,retry_with_browser_manual_asset_check
7586613438625959217,https://www.douyin.com/video/7586613438625959217,单打防守 主要在于省步子，和好衔接，当对方球速非常快的时候就只能这样接了#刘辉羽毛球 #羽毛球#羽毛球教学 #华羽,单打战术,单打战术；训练与纠错,2,media URL not observed after extended wait,retry_with_browser_manual_asset_check
7577392474555210597,https://www.douyin.com/video/7577392474555210597,反手发力 华羽新球拍预计12.6，谢谢大家的关注#羽毛球 #刘辉羽毛球 #羽毛球教学 #羽毛球训练,发力与身体运用,发力与身体运用；训练与纠错；装备与参数,2,media URL not observed after extended wait,retry_with_browser_manual_asset_check
7573211923485260537,https://www.douyin.com/video/7573211923485260537,2.7万 孙超架拍特点 希望大家多提这样的问题，我的高级教练组成员很喜欢这种访谈类的技术探讨，今天出场的两位教练分别是前天津队主教练@冠军默大爷 ，和前陕西省省队主教练@Ldj,后场技术,后场技术,2,media URL not observed after extended wait,retry_with_browser_manual_asset_check
7552759261840952636,https://www.douyin.com/video/7552759261840952636,放松发力 真挑出来的底线球，不放松做力传导杀是不行的，现在没人愿意学这些了 #羽毛球 #刘辉羽毛球 #羽毛球教学 #羽毛球训练,发力与身体运用,发力与身体运用；训练与纠错,2,media URL not observed after extended wait,retry_with_browser_manual_asset_check
7550305145877155131,https://www.douyin.com/video/7550305145877155131,"3.3万 反手杀球 不同的击球位置也会使用不同的动作,都有不同的效果#羽毛球#刘辉羽毛球 #羽毛球教学 #羽毛球训练",后场技术,后场技术；握拍与基本动作；训练与纠错,2,media URL not observed after extended wait,retry_with_browser_manual_asset_check
7210592889141775627,https://www.douyin.com/video/7210592889141775627,1.4万 一个好搭档真是省劲儿#羽毛球 #羽毛球教学 #刘辉羽毛球 @抖音小助手,训练与纠错,训练与纠错,2,media URL not observed after bounded wait,retry_with_browser_manual_asset_check
7209108124924464387,https://www.douyin.com/video/7209108124924464387,1.5万 我和大家一样，也彻夜的迷茫过动作，我希望你们因为认识我，而少走弯路，撅手腕是不可能的#羽毛球 #刘辉羽毛球 #羽毛球训练 #羽毛球教学 @抖音小助手,发力与身体运用,发力与身体运用；训练与纠错,2,media URL not observed after bounded wait,retry_with_browser_manual_asset_check
7206510177317702924,https://www.douyin.com/video/7206510177317702924,打出一个能高兴一天的学，备战世界公开赛的不要学哦#羽毛球 #羽毛球训练 #羽毛球教学 #刘辉羽毛球 @抖音小助手,训练与纠错,训练与纠错；比赛分析,2,media URL not observed after bounded wait,retry_with_browser_manual_asset_check
7200944470446050599,https://www.douyin.com/video/7200944470446050599,这种天然教研有人看嘛？对方直线可以回，就是威胁会很小#羽毛球 #羽毛球训练 #羽毛球教学 #刘辉羽毛球 @抖音小助手,训练与纠错,训练与纠错,2,media URL not observed after bounded wait,retry_with_browser_manual_asset_check
