video_id,url,title,teaching_candidate,raw_text
"7659991105622862457","https://www.douyin.com/video/7659991105622862457","3.1万 重杀框架 可以和期一起看，不同的框架可以决定不同的杀球#羽毛球 #羽毛球教学 #羽毛球训练 #刘辉羽毛球","yes","共创 3.1万 重杀框架 可以和期一起看，不同的框架可以决定不同的杀球#羽毛球 #羽毛球教学 #羽毛球训练 #刘辉羽毛球"
"7659348110628345210","https://www.douyin.com/video/7659348110628345210","杀球瞄准 杀球瞄准 卢迦彧的杀球不是那种很重的，所以落点上就尤为重要，比赛中非常容易被防守反击!中间涉及到了张指导的肖像权，已经经过了前辈本人的同意!#羽毛球#羽毛球教学#刘辉羽毛球","yes","2.5万 杀球瞄准 杀球瞄准 卢迦彧的杀球不是那种很重的，所以落点上就尤为重要，比赛中非常容易被防守反击!中间涉及到了张指导的肖像权，已经经过了前辈本人的同意!#羽毛球#羽毛球教学#刘辉羽毛球"
"7658231159860261361","https://www.douyin.com/video/7658231159860261361","架拍的选择 在两个极端架拍的中间位置，就是最普通的架拍！没有绝对的对错，符合场景，符合自己的情况就是对！ #羽毛球#刘辉羽毛球#羽毛球教学 #羽毛球训练","yes","1.6万 架拍的选择 在两个极端架拍的中间位置，就是最普通的架拍！没有绝对的对错，符合场景，符合自己的情况就是对！ #羽毛球#刘辉羽毛球#羽毛球教学 #羽毛球训练"
"7656927370758796145","https://www.douyin.com/video/7656927370758796145","双打抓回头 紫电青霜不要去掉低胶，如果一定要去掉低胶，或者已经去掉底胶，就要考虑结合自己的能力，也要换掉拍头的连钉，普通的线孔就在盒子里赠送了的#刘辉羽毛球 #羽毛球教学 #羽毛球 #华羽","yes","2.3万 双打抓回头 紫电青霜不要去掉低胶，如果一定要去掉低胶，或者已经去掉底胶，就要考虑结合自己的能力，也要换掉拍头的连钉，普通的线孔就在盒子里赠送了的#刘辉羽毛球 #羽毛球教学 #羽毛球 #华羽"
"7656560952972884730","https://www.douyin.com/video/7656560952972884730","一句话概括发力 其实所有的发力都逃不过这句话，击球前胳膊带着拍子，击球后拍头戴着胳膊，业余球友也不要使用高难度框架，没有足够的能力和配套，价值不高#羽毛球 #刘辉羽毛球 #羽毛球教学 #羽毛球训练","yes","2.1万 一句话概括发力 其实所有的发力都逃不过这句话，击球前胳膊带着拍子，击球后拍头戴着胳膊，业余球友也不要使用高难度框架，没有足够的能力和配套，价值不高#羽毛球 #刘辉羽毛球 #羽毛球教学 #羽毛球训练"
"7655269569069649192","https://www.douyin.com/video/7655269569069649192","紫电青霜不是网红拍 #华羽 #紫电青霜","no","8225 紫电青霜不是网红拍 #华羽 #紫电青霜"
"7652440366436945017","https://www.douyin.com/video/7652440366436945017","高速对抗步法 @与星星相拥 小姐姐是两省冠军🏆，这种情况属于高速对抗状态下，就是球都比较平，没有侧身的时间和意义#羽毛球 #刘辉羽毛球 #羽毛球教学 #羽毛球训练","yes","4.5万 高速对抗步法 @与星星相拥 小姐姐是两省冠军🏆，这种情况属于高速对抗状态下，就是球都比较平，没有侧身的时间和意义#羽毛球 #刘辉羽毛球 #羽毛球教学 #羽毛球训练"
"7651326104436122225","https://www.douyin.com/video/7651326104436122225","紫电青霜 如果您不了解华羽，这把球拍会告诉您！6月20日，晚上7点羽您相见！正式首发#羽毛球 #刘辉羽毛球 #华羽 #华羽紫电青霜","no","8684 紫电青霜 如果您不了解华羽，这把球拍会告诉您！6月20日，晚上7点羽您相见！正式首发#羽毛球 #刘辉羽毛球 #华羽 #华羽紫电青霜"
"7650602010613537265","https://www.douyin.com/video/7650602010613537265","重心转换 每个人的差异和场景的不同经过灵活应用#羽毛球 #刘辉羽毛球 #羽毛球教学 #羽毛球训练","yes","3.6万 重心转换 每个人的差异和场景的不同经过灵活应用#羽毛球 #刘辉羽毛球 #羽毛球教学 #羽毛球训练"
"7649864572916217073","https://www.douyin.com/video/7649864572916217073","华羽 从我到我们，感谢志同道合的同事们，感谢一直默默支持我们的朋友们，华羽因为你们而精彩#刘辉羽毛球 #羽毛球 #华羽","no","3.0万 华羽 从我到我们，感谢志同道合的同事们，感谢一直默默支持我们的朋友们，华羽因为你们而精彩#刘辉羽毛球 #羽毛球 #华羽"
